id;;det;;word;;definition;;rank
n-spa-312;;la;;máquina;;machine;;806
n-spa-313;;la;;frase;;phrase;;809
n-spa-314;;la;;sala;;room, hall;;811
n-spa-315;;el;;instrumento;;instrument;;813
n-spa-316;;la;;defensa;;defense;;815
n-spa-317;;el;;director, la directora;;director, manager; orchestral conductor;;816
n-spa-318;;la;;explicación;;explanation;;818
n-spa-319;;el;;artículo;;geleral article, grammatical article, magazine article;;819
n-spa-320;;el;;radio;;radio set;;824
n-spa-321;;la;;radio;;radio communication;;824
n-spa-322;;la;;película;;movie, ﬁlm;;826
n-spa-323;;la;;elección;;choice, selection, election;;827
n-spa-324;;la;;visita;;visit; visitor;;828
n-spa-325;;el;;apoyo;;support;;830
n-spa-326;;el;;presidente;;president;;831
n-spa-327;;la;;arma;;weapon;;832
n-spa-328;;el;;árbol;;tree;;833
n-spa-329;;el;;encuentro;;meeting, encounter;;836
n-spa-330;;la;;corriente;;current, flow of current;;838
n-spa-331;;la;;lectura;;reading;;839
n-spa-332;;la;;existencia;;existence, life;;840
n-spa-333;;el;;lenguaje;;language, speech;;841
n-spa-334;;el;;destino;;destiny, fate; destination;;844
n-spa-335;;la;;educación;;education;;845
n-spa-336;;la;;operación;;operation;;848
n-spa-337;;la;;nota;;note, grade;;853
n-spa-338;;el;;teatro;;theater, drama;;861
n-spa-339;;el;;negocio;;business, transaction;;864
n-spa-340;;la;;letra;;letter, handwriting, lyrics;;865
n-spa-341;;el;;sentimiento;;feeling, sentiment;;867
n-spa-342;;la;;solución;;solution, answer;;871
n-spa-343;;la;;comida;;food, meal, dinner;;873
n-spa-344;;la;;impresión;;impression, printing;;874
n-spa-345;;el;;plano;;plane, map, level;;875
n-spa-346;;la;;intención;;intention;;876
n-spa-347;;el;;ritmo;;rhythm;;877
n-spa-348;;el;;banco;;banking institution; stool, bench; pew; school of fish;;881
n-spa-349;;la;;piel;;skin, hide, fur;;884
n-spa-350;;el;;control;;control;;889
n-spa-351;;la;;investigación;;investigation;;890
n-spa-352;;la;;conversación;;conversation;;892
n-spa-353;;el;;verano;;summer;;893
n-spa-354;;el;;respeto;;respect, regard;;894
n-spa-355;;el;;norte;;north;;895
n-spa-356;;la;;tradición;;tradition;;898
n-spa-357;;la;;población;;population;;900
n-spa-358;;la;;pareja;;couple, pair;;901
n-spa-359;;el;;pasado;;past;;902
n-spa-360;;el;;diario;;newspaper;;903
n-spa-361;;la;;generación;;generation;;906
n-spa-362;;la;;visión;;vision;;908
n-spa-363;;el;;peligro;;danger, menace;;913
n-spa-364;;el;;oro;;gold;;914
n-spa-365;;el;;vino;;wine;;917
n-spa-366;;la;;etapa;;period, stage;;921
n-spa-367;;el;;silencio;;silence;;923
n-spa-368;;el;;o la artista;;artist, performer;;928
n-spa-369;;la;;labor;;labor, work, task;;930
n-spa-370;;el;;cielo;;sky, heaven, ceiling;;932
n-spa-371;;la;;práctica;;practice, skill;;933
n-spa-372;;el;;límite;;limit;;934
n-spa-373;;la;;masa;;mass; dough, batter;;935
n-spa-374;;las;;masas;;the masses;;935
n-spa-375;;la;;formación;;formation, education;;938
n-spa-376;;el;;perro;;dog;;939
n-spa-377;;la;;izquierda;;left;;940
n-spa-378;;la;;energía;;energy;;946
n-spa-379;;la;;conﬁanza;;conﬁdence, trust;;947
n-spa-380;;la;;ﬂor;;ﬂower;;950
n-spa-381;;el;;esposo, la esposa;;spouse;;951
n-spa-382;;la;;revolución;;revolution;;957
n-spa-383;;el;;maestro, la maestra;;teacher, master;;961
n-spa-384;;el;;fenómeno;;phenomenon;;966
n-spa-385;;la;;presión;;pressure;;967
n-spa-386;;el;;alumno, la alumna;;pupil, student;;969
n-spa-387;;la;;teoría;;theory;;970
n-spa-388;;el;;tono;;tone;;972
n-spa-389;;la;;salud;;health;;973
n-spa-390;;la;;vía;;road, route, railroad track;;982
n-spa-391;;la;;alma;;soul;;984
n-spa-392;;la;;madera;;wood;;987
n-spa-393;;la;;ﬁesta;;party, feast;;988
n-spa-394;;el;;calor;;heat, warmth;;989
n-spa-395;;el;;hogar;;home, hearth;;992
n-spa-396;;la;;mente;;mind;;993
n-spa-397;;la;;preocupación;;worry, concern;;995
n-spa-398;;el;;concepto;;concept;;997
n-spa-399;;el;;teléfono;;phone, telephone;;999
n-spa-400;;la;;hoja;;sheet, leaf;;1000
n-spa-401;;el;;escritor, la escritora;;writer;;1011
n-spa-402;;el;;intento;;attempt, try;;1012
n-spa-403;;la;;regla;;rule, ruler, regulation;;1014
n-spa-404;;el;;riesgo;;risk;;1016
n-spa-405;;el;;o la policía;;police;;1017
n-spa-406;;el;;o la estudiante;;student;;1019
n-spa-407;;la;;plaza;;square, marketplace;;1020
n-spa-408;;la;;llamada;;call, knock;;1022
n-spa-409;;la;;sensación;;sensation, feeling;;1023
n-spa-410;;el;;enemigo, la enemiga;;enemy;;1024
n-spa-411;;la;;unidad;;unit, unity;;1025
n-spa-412;;el;;idioma;;language (i.....);;1027
n-spa-413;;la;;raíz;;root of a plant;;1028
n-spa-414;;el;;compromiso;;compromise;;1029
n-spa-415;;el;;comentario;;comment, remark; commentary;;1030
n-spa-416;;la;;carga;;cargo, freight; burden; charge of energy; attack;;1031
n-spa-417;;el;;marido;;husband (m.....);;1032
n-spa-418;;la;;derecha;;to the right, right hand;;1035
n-spa-419;;el;;extremo;;extreme, end;;1036
n-spa-420;;el;;individuo;;individual, person;;1037
n-spa-421;;el;;contenido;;contents, content;;1038
n-spa-422;;la;;obligación;;obligation;;1040
n-spa-423;;el;;corte;;cut;;1041
n-spa-424;;la;;corte;;court;;1041
n-spa-425;;el;;total;;total;;1043
n-spa-426;;el;;daño;;damage; harm, injury;;1045
n-spa-427;;el;;mensaje;;message;;1047
n-spa-428;;la;;lista;;list, roster, roll;;1049
n-spa-429;;la;;región;;region;;1050
n-spa-430;;la;;niña;;child, young girl;;1052
n-spa-431;;la;;culpa;;fault, blame;;1053
n-spa-432;;la;;discusión;;discussion, argument;;1055
n-spa-433;;el;;pelo;;hair;;1056
n-spa-434;;la;;fe;;faith;;1060
n-spa-435;;la;;referencia;;reference, allusion;;1063
n-spa-436;;el;;sur;;south;;1064
n-spa-437;;el;;gesto;;gesture;;1065
n-spa-438;;la;;perspectiva;;perspective;;1066
n-spa-439;;el;;colegio;;colegio, escuela;;1073
n-spa-440;;la;;venta;;sale;;1075
n-spa-441;;el;;documento;;document;;1076
n-spa-442;;la;;televisión;;television;;1078
n-spa-443;;el;;chico;;boy;;1079
n-spa-444;;la;;novela;;novel;;1080
n-spa-445;;el;;alcance;;reach;;1083
n-spa-446;;la;;crisis;;crisis;;1085
n-spa-447;;la;;literatura;;literature;;1090
n-spa-448;;la;;batalla;;battle;;1091
n-spa-449;;el;;dueño, la dueña;;owner, proprietor, landlord;;1093
n-spa-450;;el;;vecino;;neighbor;;1095
n-spa-451;;el;;sector;;sector;;1096
n-spa-452;;la;;pintura;;painting, paint;;1097
n-spa-453;;el;;accidente;;accident;;1098
n-spa-454;;la;;inﬂuencia;;inﬂuence;;1102
n-spa-455;;el;;empleado;;employee;;1104
n-spa-456;;la;;moneda;;coins, currency;;1107
n-spa-457;;la;;facilidad;;ease, facility;;1108
n-spa-458;;el;;matrimonio;;marriage;;1109
n-spa-459;;la;;iglesia;;church;;1111
n-spa-460;;la;;oﬁcina;;ofﬁce;;1113
n-spa-461;;la;;institución;;institution;;1115
n-spa-462;;el;;frío;;cold;;1120
n-spa-463;;el;;domingo;;Sunday;;1121
n-spa-464;;la;;reacción;;reaction;;1122
n-spa-465;;el;;acontecimiento;;event;;1125
n-spa-466;;la;;costa;;coast;;1126
n-spa-467;;el;;método;;method;;1129
n-spa-468;;la;;comunidad;;community;;1130
n-spa-469;;el;;coche;;car;;1131
n-spa-470;;la;;página;;page;;1135
n-spa-471;;la;;frecuencia;;frequency;;1137
n-spa-472;;la;;conclusión;;conclusion;;1138
n-spa-473;;la;;escena;;scene, stage;;1139
n-spa-474;;la;;estructura;;structure;;1141
n-spa-475;;el;;beneﬁcio;;gain, profit; benefit;;1142
n-spa-476;;el;;alimento;;food, nourishment;;1143
n-spa-477;;la;;velocidad;;speed, velocity; automobile gear;;1145
n-spa-478;;el;;barrio;;neighborhood;;1146
n-spa-479;;el;;análisis;;analysis;;1148
n-spa-480;;la;;frontera;;border, frontier;;1150
n-spa-481;;el;;temor;;fear;;1154
n-spa-482;;el;;ataque;;attack;;1157
n-spa-483;;el;;cine;;cinema, movies;;1159
n-spa-484;;la;;rama;;branch, limb;;1160
n-spa-485;;el;;comienzo;;start, beginning;;1162
n-spa-486;;el;;barco;;boat, ship;;1164
n-spa-487;;la;;partida;;game, match, departure;;1165
n-spa-488;;el;;aparato;;machine, appliance, apparatus; system; display;;1168
n-spa-489;;el;;extranjero;;foreigner;;1171
n-spa-490;;la;;cámara;;camera, chamber;;1172
n-spa-491;;la;;creación;;creation;;1173
n-spa-492;;la;;gana;;desire;;1177
n-spa-493;;la;;moda;;fashion, form;;1180
n-spa-494;;el;;ruido;;noise;;1184
n-spa-495;;la;;cama;;bed;;1185
n-spa-496;;la;;técnica;;technique;;1187
n-spa-497;;el;;consejo;;advice;;1188
n-spa-498;;la;;violencia;;violence;;1190
n-spa-499;;el;;sonido;;sound;;1192
n-spa-500;;la;;estrella;;star;;1194
n-spa-501;;la;;mirada;;gaze, look;;1197
n-spa-502;;la;;pierna;;leg;;1201
n-spa-503;;la;;hambre;;hunger, starvation;;1204
n-spa-504;;el;;placer;;pleasure;;1205
n-spa-505;;la;;profesión;;profession, occupation;;1206
n-spa-506;;el;;objetivo;;objective;;1210
n-spa-507;;el;;honor;;honor, honesty;;1211
n-spa-508;;la;;montaña;;mountain;;1212
n-spa-509;;el;;instante;;instant, moment;;1215
n-spa-510;;el;;viento;;wind, scent;;1216
n-spa-511;;la;;lluvia;;rain;;1217
n-spa-512;;el;;ejército;;army;;1218
n-spa-513;;el;;tren;;train, convoy;;1220
n-spa-514;;el;;círculo;;circle, club;;1222
n-spa-515;;la;;ventaja;;advantage, beneﬁt;;1226
n-spa-516;;la;;isla;;island;;1229
n-spa-517;;la;;amistad;;friendship;;1232
n-spa-518;;la;;cadena;;chain;;1236
n-spa-519;;el;;político;;politician;;1237
n-spa-520;;el;;rey;;king;;1238
n-spa-521;;el;;ánimo;;zest, spirit, heart;;1240
n-spa-522;;el;;trato;;treatment, manner, agreement;;1241
n-spa-523;;el;;ejercicio;;exercise, practice;;1242
n-spa-524;;la;;organización;;organization;;1243
n-spa-525;;el;;agosto;;August;;1244
n-spa-526;;el;;o la secretario(a);;secretary;;1245
n-spa-527;;el;;dedo;;ﬁnger, toe, digit;;1248
n-spa-528;;el;;gasto;;expense, expenditure;;1249
n-spa-529;;el;;café;;coffee, café;;1250
n-spa-530;;el;;diálogo;;dialogue, conversation;;1251
n-spa-531;;el;;discurso;;lecture, discourse, talk;;1254
n-spa-532;;la;;hermana;;sister;;1256
n-spa-533;;la;;caja;;bank, box, safe;;1258
n-spa-534;;el;;o la juez(a);;judge;;1259
n-spa-535;;el;;particular;;individual, matter;;1260
n-spa-536;;la;;poeta;;poet;;1262
n-spa-537;;la;;sorpresa;;surprise;;1264
n-spa-538;;la;;ventana;;window;;1265
n-spa-539;;la;;característica;;characteristic, aspect;;1266
n-spa-540;;la;;suma;;sum, amount, summary;;1271
n-spa-541;;el;;volumen;;volume;;1274
n-spa-542;;la;;estación;;station, season;;1275
n-spa-543;;el;;argumento;;argument, plot;;1279
n-spa-544;;la;;categoría;;category;;1280
n-spa-545;;la;;plata;;silver, money;;1281
n-spa-546;;el;;conﬂicto;;conﬂict;;1282
n-spa-547;;el;;avión;;plane, airplane, aircraft;;1283
n-spa-548;;la;;ropa;;clothes, clothing;;1285
n-spa-549;;el;;examen;;examination, exam;;1286
n-spa-550;;el;;habitante;;inhabitant;;1287
n-spa-551;;la;;justicia;;justice, fairness;;1290
n-spa-552;;el;;criterio;;criterion;;1292
n-spa-553;;el;;plazo;;deadline, installment;;1295
n-spa-554;;el;;kilómetro;;kilometer;;1297
n-spa-555;;el;;hospital;;hospital;;1298
n-spa-556;;la;;satisfacción;;satisfaction;;1299
n-spa-557;;la;;silla;;chair, seat;;1307
n-spa-558;;la;;juventud;;youth;;1311
n-spa-559;;el;;acceso;;access, entry;;1315
n-spa-560;;el;;marco;;frame, mark, setting;;1316
n-spa-561;;la;;prensa;;press;;1318
n-spa-562;;la;;excepción;;exception;;1319
n-spa-563;;la;;ausencia;;absence;;1321
n-spa-564;;la;;sombra;;shade, shadow;;1324
n-spa-565;;la;;profundidad;;depth, profundity;;1330
n-spa-566;;la;;leche;;milk;;1334
n-spa-567;;la;;consideración;;consideration, regard;;1335
n-spa-568;;el;;premio;;prize, reward;;1337
n-spa-569;;el;;nacimiento;;birth, origin;;1339
n-spa-570;;el;;invierno;;winter;;1340
n-spa-571;;el;;diciembre;;December;;1341
